id,RFII-Score,Dossierstruktur,Dossier.Art,Produkt.letzte.Dossierversion,Personenhaushalt..Unterstützungseinheit.,Personen.im.Haushalt.gesamt,Personenkategorie,Zivilstand,Nationalität.Kategorien,in.CH.seit.Geb.,Alterskategorien,Erwerbssituation,Beschäftigungsgrad,Grund.Teilzeit,höchste.abgeschlossene.Ausbildung,Erlernter.Beruf.Kategorie,letzte.berufliche.Tätigkeit.Kategorie
id01147,0.954070981,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,3,Mehrfachhaushalt (>3),Person mit Kind / Kinder,geschieden,EU / EFTA,FALSE,26-35,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,Verkaufskräfte
id02616,0.954070981,Sozialhilfe,Flüchtling ab 5 J.,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,verheiratet,Asien,FALSE,36-45,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,Fahrzeugführer und Bediener mobiler Anlagen
id03732,0.91875,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,verheiratet,EU / EFTA,FALSE,56-65,"Angestellt, regelmässig",Eine Teilzeitstelle (50-89%),NA,obligatorische Schule,NA,Hilfskräfte in der Nahrungsmittelzubereitung
id02914,0.954070981,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,EU / EFTA,FALSE,46-55,vorübergehend arbeitsunfähig,NA,NA,nicht feststellbar,"Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen","Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen"
id02324,0.954070981,Sozialhilfe,Kopfquote,Sozialhilfeleistung,2,Mehrfachhaushalt (2-3),Person mit Kind / Kinder,ledig,EU / EFTA,FALSE,26-35,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,Berufslehre/-schule,Berufe im Bereich personenbezogener Dienstleistungen,Berufe im Bereich personenbezogener Dienstleistungen
id02045,0.91875,Sozialhilfe,Ausländer/innen,Sozialhilfeleistung,>3,Mehrfachhaushalt (>3),Paar mit Kind / Kinder,verheiratet,EU / EFTA,FALSE,36-45,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,Berufslehre/-schule,Ingenieurtechnische und vergleichbare Fachkräfte,Ingenieurtechnische und vergleichbare Fachkräfte
id04281,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,geschieden,Schweiz,TRUE,46-55,vorübergehend arbeitsunfähig,NA,NA,obligatorische Schule,kein | keine,Berufe im Bereich personenbezogener Dienstleistungen
id04879,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,46-55,vorübergehend arbeitsunfähig,NA,NA,Anlehre,Allgemeine Büro- und Sekretariatskräfte,NA
id04659,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,36-45,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,Schutzkräfte und Sicherheitsbedienstete
id03172,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,46-55,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,Berufslehre/-schule,Allgemeine Büro- und Sekretariatskräfte,Allgemeine Büro- und Sekretariatskräfte
id03026,0.954070981,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,2,Mehrfachhaushalt (>3),Person mit Kind / Kinder,geschieden,Schweiz,FALSE,46-55,Arbeit auf Abruf,NA,NA,obligatorische Schule,kein | keine,Berufe im Bereich personenbezogener Dienstleistungen
id04862,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,geschieden,Schweiz,TRUE,46-55,vorübergehend arbeitsunfähig,NA,NA,obligatorische Schule,Allgemeine Büro- und Sekretariatskräfte,Allgemeine Büro- und Sekretariatskräfte
id01655,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,geschieden,Schweiz,TRUE,36-45,Arbeit auf Abruf,Eine Teilzeitstelle (50-89%),keine Vollzeitstelle,Berufslehre/-schule,kein | keine,Verkaufskräfte
id02165,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,2,Mehrfachhaushalt (2-3),Person mit Kind / Kinder,ledig,Schweiz,TRUE,26-35,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,NA
id02198,0.91875,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,geschieden,Schweiz,FALSE,26-35,Arbeitsintegrationsprogramm,Eine Teilzeitstelle (50-89%),Krankheit,Anlehre,Berufe im Bereich personenbezogener Dienstleistungen,"Hilfsarbeitskräfte, onA"
id01777,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,26-35,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,"Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker"
id00204,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,26-35,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,kein | keine
id02531,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,18-25,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,kein | keine
id04308,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,geschieden,Schweiz,TRUE,46-55,"Angestellt, regelmässig",Eine Teilzeitstelle (bis 49%),Krankheit,nicht feststellbar,kein | keine,Betreuungsberufe
id02357,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,2,Mehrfachhaushalt (2-3),Person mit Kind / Kinder,ledig,Schweiz,TRUE,26-35,"Angestellt, regelmässig",Eine Teilzeitstelle (bis 49%),"Haushalt, familiäre Gründe",Berufslehre/-schule,Verkaufskräfte,Verkaufskräfte
id03254,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,2,Mehrfachhaushalt (2-3),Person mit Kind / Kinder,verheiratet,Schweiz,TRUE,36-45,"Angestellt, regelmässig",Eine Teilzeitstelle (50-89%),keine Vollzeitstelle,obligatorische Schule,kein | keine,Verkaufskräfte
id04769,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,26-35,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,Berufslehre/-schule,Berufe im Bereich personenbezogener Dienstleistungen,Berufe im Bereich personenbezogener Dienstleistungen
id00609,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,18-25,Arbeitsintegrationsprogramm,Vollzeit(90+),NA,obligatorische Schule,kein | keine,kein | keine
id02805,0.91875,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (>3),Alleinstehend,verheiratet,Schweiz,FALSE,56-65,Rentner/in,NA,NA,obligatorische Schule,kein | keine,Spezialisten in Gesundheitsberufen
id04216,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,46-55,"Angestellt, regelmässig",Vollzeit(90+),NA,höhere Fach- und Berufsausbildung,Lehrkräfte,Spezialisten in der Informations- und Kommunikationstechnologie
id01636,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,36-45,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,Verkaufskräfte,Verkaufskräfte
id01891,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,56-65,vorübergehend arbeitsunfähig,NA,NA,obligatorische Schule,Verkaufskräfte,"Führungskräfte in Hotels und Restaurants, im Handel und in der Erbringung sonstiger Dienstleistungen"
id01812,0.954070981,Sozialhilfe,Inländer/innen,Rückerstattung,1,Einzelhaushalt,Alleinstehend,verheiratet,Schweiz,FALSE,56-65,vorübergehend arbeitsunfähig,NA,NA,Berufslehre/-schule,NA,Spezialisten in Gesundheitsberufen
id00244,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,56-65,Selbstständig,Mehrere Teilzeitstellen,NA,Universität/Hochschule/Fachhochschule,kein | keine,Verkaufskräfte
id04691,0.954070981,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,FALSE,36-45,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,Berufslehre/-schule,"Präzisionshandwerker, Drucker und kunsthandwerkliche Berufe","Hilfsarbeitskräfte, onA"
id00812,0.982905983,Sozialhilfe,Inländer/innen,Rückerstattung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,26-35,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,Hilfskräfte in der Nahrungsmittelzubereitung
id02718,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,26-35,vorübergehend arbeitsunfähig,NA,NA,Anlehre,Fachkräfte in der Landwirtschaft,Fachkräfte in der Landwirtschaft
id04819,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,26-35,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,Berufe im Bereich personenbezogener Dienstleistungen
id03770,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,26-35,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,"Bürokräfte im Finanz- und Rechnungswesen, in der Statistik und in der Materialwirtschaft"
id00098,0.954070981,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,FALSE,26-35,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,Berufe im Bereich personenbezogener Dienstleistungen
id02847,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,26-35,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,Anlehre,Elektriker und Elektroniker,Elektriker und Elektroniker
id03125,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,26-35,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,Spezialisten in Gesundheitsberufen
id00378,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,26-35,"Angestellt, regelmässig",Vollzeit(90+),NA,Berufslehre/-schule,Berufe im Bereich personenbezogener Dienstleistungen,Berufe im Bereich personenbezogener Dienstleistungen
id03394,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,36-45,Beschäft. für Ausgesteuerte,Eine Teilzeitstelle (50-89%),Krankheit,obligatorische Schule,kein | keine,"Hilfsarbeitskräfte, onA"
id02980,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,2,Mehrfachhaushalt (2-3),Person mit Kind / Kinder,ledig,Schweiz,TRUE,26-35,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,Verkaufskräfte
id00223,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (>3),Alleinstehend,ledig,Schweiz,TRUE,26-35,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,NA
id00061,0.954070981,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,2,Mehrfachhaushalt (2-3),Person mit Kind / Kinder,ledig,Schweiz,FALSE,18-25,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,Lehrkräfte
id01261,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,18-25,in Ausbildung (ohne Lehrlinge),NA,NA,obligatorische Schule,kein | keine,kein | keine
id02683,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,geschieden,Schweiz,TRUE,46-55,Dauerinvalidität,NA,NA,obligatorische Schule,kein | keine,kein | keine
id01969,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,46-55,vorübergehend arbeitsunfähig,NA,NA,Berufslehre/-schule,"Metallarbeiter, Mechaniker, Polymechaniker, Produktionsmechaniker und verwandte Berufe","Metallarbeiter, Mechaniker, Polymechaniker, Produktionsmechaniker und verwandte Berufe"
id02515,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,geschieden,Schweiz,TRUE,46-55,vorübergehend arbeitsunfähig,NA,NA,Berufslehre/-schule,"Präzisionshandwerker, Drucker und kunsthandwerkliche Berufe","Metallarbeiter, Mechaniker, Polymechaniker, Produktionsmechaniker und verwandte Berufe"
id03046,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,26-35,vorübergehend arbeitsunfähig,NA,NA,"Maturität, Berufsmatura, Diplommittelschule",kein | keine,kein | keine
id03647,0.982905983,Sozialhilfe,Inländer/innen,Rückerstattung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,18-25,vorübergehend arbeitsunfähig,NA,NA,Berufslehre/-schule,Spezialisten in der Informations- und Kommunikationstechnologie,Spezialisten in der Informations- und Kommunikationstechnologie
id02802,0.91875,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,2,Mehrfachhaushalt (2-3),Person mit Kind / Kinder,verheiratet,Schweiz,FALSE,26-35,"Angestellt, regelmässig",Eine Teilzeitstelle (bis 49%),"Haushalt, familiäre Gründe",obligatorische Schule,Berufe im Bereich personenbezogener Dienstleistungen,Reinigungspersonal und Hilfskräfte
id03773,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (>3),Alleinstehend,ledig,Schweiz,TRUE,26-35,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,kein | keine
id04270,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,18-25,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,Verkaufskräfte
id03557,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,26-35,vorübergehend arbeitsunfähig,NA,NA,Berufslehre/-schule,"Präzisionshandwerker, Drucker und kunsthandwerkliche Berufe","Präzisionshandwerker, Drucker und kunsthandwerkliche Berufe"
id04570,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,26-35,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,Berufslehre/-schule,Bediener stationärer Anlagen und Maschinen,Berufe im Bereich personenbezogener Dienstleistungen
id03037,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,26-35,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,"Bürokräfte im Finanz- und Rechnungswesen, in der Statistik und in der Materialwirtschaft"
id00065,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,26-35,in der Lehre,Vollzeit(90+),NA,obligatorische Schule,kein | keine,"Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker"
id04027,0.954070981,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,FALSE,26-35,vorübergehend arbeitsunfähig,NA,NA,Berufslehre/-schule,Bediener stationärer Anlagen und Maschinen,Verkaufskräfte
id01178,0.91875,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,FALSE,26-35,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,nicht feststellbar,kein | keine,"Bürokräfte im Finanz- und Rechnungswesen, in der Statistik und in der Materialwirtschaft"
id02108,0.954070981,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,verheiratet,Schweiz,FALSE,36-45,Arbeit auf Abruf,Eine Teilzeitstelle (bis 49%),NA,obligatorische Schule,Berufe im Bereich personenbezogener Dienstleistungen,Hilfskräfte in der Nahrungsmittelzubereitung
id04753,0.91875,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,FALSE,46-55,Arbeitsintegrationsprogramm,Eine Teilzeitstelle (50-89%),keine Vollzeitstelle,Berufslehre/-schule,Allgemeine Büro- und Sekretariatskräfte,Allgemeine Büro- und Sekretariatskräfte
id02792,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,46-55,vorübergehend arbeitsunfähig,NA,NA,Berufslehre/-schule,"Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker",Berufe im Bereich personenbezogener Dienstleistungen
id00778,0.91875,Sozialhilfe,Inländer/innen,Rückerstattung,>3,Mehrfachhaushalt (>3),Person mit Kind / Kinder,verheiratet,Schweiz,FALSE,46-55,"Angestellt, regelmässig",Eine Teilzeitstelle (bis 49%),NA,Berufslehre/-schule,Berufe im Bereich personenbezogener Dienstleistungen,NA
id04932,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,geschieden,Schweiz,TRUE,56-65,vorübergehend arbeitsunfähig,NA,NA,Anlehre,Berufe im Bereich personenbezogener Dienstleistungen,Berufe im Bereich personenbezogener Dienstleistungen
id04246,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,26-35,Arbeit auf Abruf,Eine Teilzeitstelle (50-89%),keine Vollzeitstelle,Berufslehre/-schule,"Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker",Verkaufskräfte
id04420,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,56-65,vorübergehend arbeitsunfähig,NA,NA,nicht feststellbar,kein | keine,kein | keine
id00294,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,46-55,"ohne Arbeit, beim Arbeitsamt gemeldet",NA,NA,Berufslehre/-schule,Allgemeine Büro- und Sekretariatskräfte,Fahrzeugführer und Bediener mobiler Anlagen
id01677,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,36-45,vorübergehend arbeitsunfähig,NA,NA,Berufslehre/-schule,Betriebswirte und vergleichbare Spezialisten,Betriebswirte und vergleichbare Spezialisten
id04060,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,ledig,Schweiz,TRUE,26-35,vorübergehend arbeitsunfähig,NA,NA,Berufslehre/-schule,Allgemeine Büro- und Sekretariatskräfte,Allgemeine Büro- und Sekretariatskräfte
id03463,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Mehrfachhaushalt (2-3),Alleinstehend,geschieden,Schweiz,TRUE,56-65,"ohne Arbeit, nicht beim Arbeitsamt gemeldet",NA,NA,obligatorische Schule,kein | keine,Verkaufskräfte
id01601,0.91875,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,>3,Mehrfachhaushalt (>3),Paar mit Kind / Kinder,verheiratet,Schweiz,FALSE,46-55,anderes (nicht erwerbstätig),NA,NA,obligatorische Schule,kein | keine,Schutzkräfte und Sicherheitsbedienstete
id04746,0.982905983,Sozialhilfe,Inländer/innen,Sozialhilfeleistung,1,Einzelhaushalt,Alleinstehend,ledig,Schweiz,TRUE,26-35,vorübergehend arbeitsunfähig,NA,NA,Berufslehre/-schule,Berufe im Bereich personenbezogener Dienstleistungen,"Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker"
